Départementdomicile	moinsd'un	1à4	5à9	10à14	15à19	20à24	25à29	30à34	35à39	40à44	45à49	50à54	55à59	60à64	65à69	70à74	75à79	80à84	85ans	region	moinsd'un.Femme	1à4.Femme	5à9.Femme	10à14.Femme	15à19.Femme	20à24.Femme	25à29.Femme	30à34.Femme	35à39.Femme	40à44.Femme	45à49.Femme	50à54.Femme	55à59.Femme	60à64.Femme	65à69.Femme	70à74.Femme	75à79.Femme	80à84.Femme	85ans.Femme
Mayenne	6	2	1	1	3	10	5	13	13	25	31	51	80	94	74	129	180	207	434	PaysdelaLoire	5	2	3	1	2	1	3	5	3	15	15	25	37	41	36	56	122	224	752
Sarthe	14	5	2	1	11	16	14	25	36	49	72	110	127	199	172	252	361	443	769	PaysdelaLoire	11	2	3	1	0	1	4	10	11	15	29	68	70	89	76	123	195	363	1355
Vendée	15	4	2	3	12	17	12	23	21	42	72	112	165	215	210	307	424	575	871	PaysdelaLoire	12	4	3	2	3	3	4	4	14	25	22	57	72	97	89	151	267	429	1503
Côtes-d'Armor	15	2	1	1	4	16	12	10	32	52	94	149	198	270	240	371	501	550	842	Bretagne	5	5	1	2	2	2	6	7	14	32	40	60	94	115	98	162	325	592	1685
Finistère	13	5	2	1	9	21	26	30	58	91	152	232	310	409	331	525	620	783	1263	Bretagne	19	8	3	0	9	6	12	7	21	37	50	107	125	150	156	239	456	833	2514
Ille-et-Vilaine	28	7	3	5	6	29	27	27	52	77	131	155	250	291	236	344	498	652	997	Bretagne	20	4	3	2	7	6	9	12	22	33	66	65	102	114	128	193	353	595	1946
Morbihan	15	6	3	3	9	15	22	20	37	59	83	158	253	296	259	386	540	626	955	Bretagne	9	5	3	2	2	4	5	8	11	23	54	66	90	114	107	205	378	617	1822
Charente	8	3	1	0	9	7	10	13	15	35	51	87	104	131	128	190	264	368	642	Poitou-Charentes	3	3	0	0	4	3	3	7	5	13	18	44	55	51	60	93	168	268	1063
Charente-Maritime	10	3	0	2	5	20	15	22	31	55	96	127	186	248	226	304	480	608	1079	Poitou-Charentes	5	2	0	0	4	5	3	8	14	28	39	77	101	119	117	189	279	503	1784
Deux-Sèvres	11	1	0	1	8	16	9	11	11	31	39	67	88	121	99	178	253	343	576	Poitou-Charentes	7	0	0	0	4	2	5	2	4	14	15	25	42	57	51	90	148	263	960
Vienne	11	1	0	1	3	8	11	10	16	26	41	52	132	165	126	195	311	355	719	Poitou-Charentes	8	2	0	0	3	2	4	5	6	17	22	34	43	55	65	89	185	291	1069
Dordogne	9	1	0	2	7	16	9	14	25	29	53	77	117	167	178	259	347	468	832	Aquitaine	4	0	0	0	3	5	2	6	9	15	27	27	55	59	69	122	239	377	1480
Gironde	32	13	2	12	20	35	34	37	68	84	162	270	387	494	406	515	778	1001	1686	Aquitaine	23	10	1	4	3	15	14	16	21	61	76	139	177	199	197	273	513	891	3268
Landes	12	2	2	0	4	10	11	9	15	26	43	74	124	143	133	163	287	356	625	Aquitaine	5	1	3	0	0	0	3	5	4	10	23	35	46	67	63	84	164	342	1039
Lot-et-Garonne	5	2	0	1	8	7	4	9	13	21	29	64	85	119	95	161	219	345	607	Aquitaine	3	3	2	0	0	3	1	2	4	7	19	28	40	57	55	65	186	295	1011
Pyrénées-Atlantiques	16	4	1	1	3	17	19	18	34	43	65	109	181	193	185	310	460	592	979	Aquitaine	11	3	1	4	6	5	5	7	13	28	38	44	88	103	98	173	305	495	1741
Ariège	5	3	0	0	1	1	4	9	12	18	29	37	51	54	44	83	101	151	307	Midi-Pyrénées	1	1	0	0	0	0	2	2	3	3	13	13	25	20	25	45	87	148	455
Aveyron	6	3	0	0	3	5	4	3	5	18	26	47	56	83	80	146	230	304	561	Midi-Pyrénées	2	0	0	0	0	1	3	3	6	9	19	21	28	41	49	82	138	264	947
Haute-Garonne	28	4	1	1	14	26	30	37	57	71	118	158	239	268	265	337	555	652	1300	Midi-Pyrénées	20	5	0	2	5	11	11	21	23	32	68	85	130	123	143	222	363	642	2281
Gers	4	3	0	0	5	9	8	4	13	16	15	26	39	60	58	96	164	204	425	Midi-Pyrénées	3	0	0	0	0	2	1	7	10	7	8	15	24	26	37	59	100	160	584
Lot	5	1	0	0	2	3	1	7	4	15	23	29	56	64	54	92	124	192	369	Midi-Pyrénées	3	0	2	2	2	3	1	3	7	9	6	17	11	25	31	59	84	147	583
